"","symbol","message_count","bytes","seconds_spent"
"426","BLZ-USD",12,4962,120
"427","SOL-BTC",2,854,120
"428","00-USD",1,422,120
"429","SNT-USD",1,424,120
"430","DAR-USD",1,409,120
"431","ICP-BTC",17,7364,120
"432","ONDO-USD",23,9597,120
"433","BONK-USD",24,11008,120
"434","MASK-USD",6,2423,120
"435","GRT-BTC",8,3557,120
"436","YFI-USD",5,2095,120
"437","DOGE-EUR",1,422,120
"438","MKR-USD",3,1267,120
"439","NEAR-USD",48,19710,120
"440","PYUSD-USD",1,417,120
"441","FET-USDT",23,9485,120
"442","COTI-USD",57,23979,120
"443","QNT-USD",4,1647,120
"444","FORT-USD",96,40194,120
"445","NEAR-USDT",6,2455,120
"446","ORN-USD",15,6092,120
"447","VARA-USD",6,2494,120
"448","TRB-USD",3,1234,120
"449","AVAX-USDT",34,13897,120
"450","DOGE-GBP",2,834,120
"451","MANA-USD",18,7547,120
"452","VET-USD",20,8401,120
"453","JASMY-USD",15,6442,120
"454","MNDE-USD",6,2531,120
"455","ZEN-USD",8,3256,120
"456","APE-USDT",2,816,120
"457","CGLD-USD",1,414,120
"458","ROSE-USDT",2,832,120
"459","LCX-USD",24,9936,120
